#,Category,Difficulty,Type,Question,Correct A,Incorrect 1,Incorrect 2,Incorrect 3
5116,Celebrity Real Names,Easy,Text,The ventral pleat is grooves in the skin under the mouth of which creature?,Whale,Dolphin,Giraffe,Antelope
5117,Celebrity Real Names,Easy,Text,"The world's best restaurant of 2019, Noma, is in which city?",Copenhagen,Stockholm,Helsinki,Oslo
5118,Celebrity Real Names,Easy,Text,The world's first vaccine was created against which disease?,Smallpox,Measles,Malaria,Polio
5119,Celebrity Real Names,Easy,Text,To which Biblical king was Jezebel married?,Ahab,David,Solomon,Joseph
5120,Celebrity Real Names,Easy,Text,To which order of reptiles do turtles and tortoises belong?,Chelonia,Thecodontia,Placodontia,Choristodera
5121,Celebrity Real Names,Easy,Text,Toussaint Louverture considered the father of which nation?,Haiti,Cuba,Argentina,Brazil
5122,Celebrity Real Names,Easy,Text,"Tyrian, a dye highly prized by the Romans, was which colour?",Purple,Green,Orange,Blue
5123,Celebrity Real Names,Easy,Text,Warsaw lies on which river?,Vistula,Volga,Spree,Danube
5124,Celebrity Real Names,Easy,Text,"Welsh people celebrate the day for their Patron, Saint David, in which month of the year?",March,May,August,September
5125,Celebrity Real Names,Easy,Text,What colour is the gemstone called kunzite?,Purple,Yellow,Green,Blue
5126,Celebrity Real Names,Easy,Text,What competes in the race called The Iditarod?,Dog Sleds,Yachts,Skateboarders,Skiers
5127,Celebrity Real Names,Easy,Text,What do you breed if you are a sericulturist?,Silkworms,Snakes,Roses,Racehorses
5128,Celebrity Real Names,Easy,Text,What does a numismatist collect?,Coins ,Stamps,Postcards,Cards
5129,Celebrity Real Names,Easy,Text,What does a numismatist collect? ,Coins,Stamps,Musical Instruments,Jackets
5130,Celebrity Real Names,Easy,Text,What does the C stand for in medical term OCD?,Compulsive,Coordinated,Cardiac,Cohesive
5131,Celebrity Real Names,Easy,Text,What is a belonophobic afraid of?,Needles,Travel,Heights,Cats
5132,Celebrity Real Names,Easy,Text,What is a villanelle?,Poem,Dance,Style of Painting,Jacket
5133,Celebrity Real Names,Easy,Text,What is Delft in Holland famous for?,Pottery,Oranges,Flowers,Computing
5134,Celebrity Real Names,Easy,Text,What is the birthstone for February?,Amethyst,Ruby,Emerald,Sapphire
5135,Celebrity Real Names,Easy,Text,What is the British name for the American game of checkers?,Draughts,Winds,Counters,Leapfrog
5136,Celebrity Real Names,Easy,Text,What is the capital of Namibia?,Windhoek,Luanda,Lilongwe,Maputo
5137,Celebrity Real Names,Easy,Text,What is the common name for the craft known as serigraphy?,Silk screen painting,Handwriting,Lino Printing,Jigsaw Making
5138,Celebrity Real Names,Easy,Text,What is the common name for the disease called trismus?,Lockjaw,Malaria,Measles,Chicken Pox
5139,Celebrity Real Names,Easy,Text,What is the illegal practice of requiring people to be members of a trade union before being employed?,Closed Shop,Union Bridge,Social Charter,Magnum Opus
5140,Celebrity Real Names,Easy,Text,What is the middle name of Winston S Churchill?,Spencer,Simon,Stalingrad,Serpentine
5141,Celebrity Real Names,Easy,Text,What is the name for a celebration which happens every 4 years?,Quadrennial,Quarfest,Quaternary,Quidditch
5142,Celebrity Real Names,Easy,Text,What is the name for a traditional Moroccan house with central garden?,Riad,Ford,Finca,Hacienda
5143,Celebrity Real Names,Easy,Text,What is the name for the most highly developed part of a brain? ,Cerebrum,Hippocampus,Medulla,Thalmus
5144,Celebrity Real Names,Easy,Text,What is the name for the pointed pieces on a ship's anchor?,Flukes,Dancers,Blocks,Chargers
5145,Celebrity Real Names,Easy,Text,What is the name of the largest city north of the Arctic Circle?,Murmansk,Oulu,Uppsala,Ostersund
5146,Celebrity Real Names,Easy,Text,"What is the name of the magical spirit of the air in Shakespeare's ""The Tempest""?",Ariel,Mercury,Titania,Ophelia
5147,Celebrity Real Names,Easy,Text,What is the name of the metal used in soldering?,Spelter,Pewter,Brassica,Argentum
5148,Celebrity Real Names,Easy,Text,What is the name of the RAF's aerobatics team?,Red Arrows,Golden Stars,Blue Clouds,Orange Rays
5149,Celebrity Real Names,Easy,Text,"What is the surname of Alan, a former chairman of The US Federal Reserve?",Greenspan,Bluebalm,Redman,Blackford
5150,Celebrity Real Names,Easy,Text,"What is the title character's first name in ""The Great Gatsby""?",Jay,Karl,Marcus,John
5151,Celebrity Real Names,Easy,Text,What name is given to the art of clipping hedges into shapes?,Topiary,Calligraphy,Sonography,Weaving
5152,Celebrity Real Names,Easy,Text,What term is given to the making of patterns by inlaying different coloured pieces of wood?,Marquetry,Basketry,Weaving,Tapestry
5153,Celebrity Real Names,Easy,Text,"What traditional men-only organisation is often referred to as ""The Craft""?",Freemasons,FBI,Mormons,Knights Templar
5154,Celebrity Real Names,Easy,Text,What was landscape gardener Capability Brown's real first name?,Lancelot,Arthur,Sebastian,Montgomery
5155,Celebrity Real Names,Easy,Text,"What was the first name of Burgess, the British spy who defected to Russia?",Guy,Kim,Mark,John
5156,Celebrity Real Names,Easy,Text,What was the first name of medieval Catholic philosopher Aquinas?,Thomas,Francis,Joseph,David
5157,Celebrity Real Names,Easy,Text,What was the first name of Queen Elizabeth II's father?,Albert,David,Christopher,Samuel
5158,Celebrity Real Names,Easy,Text,What was the most popular boy’s name for babies born in the UK in 2018?,Oliver   ,Michael,Jacob,Lucas
5159,Celebrity Real Names,Easy,Text,What was the unusual name of Al Gore's campaigning wife?,Tipper,Skipper,Flapper,Snapper
5160,Celebrity Real Names,Easy,Text,What word is the opposite of zenith?,Nadir,Peak,Pinnacle,Base
5161,Celebrity Real Names,Easy,Text,What would you do with a djebba?,Wear It,Eat It,Drink It,Read It
5162,Celebrity Real Names,Easy,Text,What would you find in a binnacle?,Compass,Crown,Shoes,Jacket
5163,Celebrity Real Names,Easy,Text,What would you have if you were hypermetropic?,Long sight,Diabetes,Children,Enough Money
5164,Celebrity Real Names,Easy,Text,What would you make using a machine called a foudrinier?,Paper,Rugs,Glass,Steel
5165,Celebrity Real Names,Easy,Text,"Where did Roosevelt, Churchill and Stalin meet in 1945?",Yalta,Munich,Potsdam,Lille
5166,Celebrity Real Names,Easy,Text,Where would you wear a zuchetto?,Head,Hands,Feet,Neck
5167,Celebrity Real Names,Easy,Text,Which acid builds up in the muscles during severe exercise?,Lactic,Acetic,Sulfuric,Hydrochloric
5168,Celebrity Real Names,Easy,Text,"Which adjective describes people and culture native to western Russia, Georgia, and Ukraine?",Cossack,Sanskrit,Arab,Incan
5169,Celebrity Real Names,Easy,Text,"Which African nation is known as the ""Country of Copper""?",Zambia,Zimbabwe,Ghana,Sierra Leone
5170,Celebrity Real Names,Easy,Text,Which artist included Halley's comet in a fresco of the Nativity?,Giotto,Michelangelo,Picasso,Van Gogh
5171,Celebrity Real Names,Easy,Text,Which Asian country's flag is in the shape of two triangles?,Nepal,Thailand,Indonesia,Malaysia
5172,Celebrity Real Names,Easy,Text,Which Atlantic ocean island hosts a flower festival each May?,Madeira,Fuerteventura,Azores,Falkland Islands
5173,Celebrity Real Names,Easy,Text,Which Biblical character is said to have lived for 969 years?,Methuselah,Lot,Job,Moses
5174,Celebrity Real Names,Easy,Text,Which botanical tree family includes the sycamore and maple?,Acer,Oak,Chestnut,Palm
5175,Celebrity Real Names,Easy,Text,"Which branch of math means ""small pebble for counting"" in Latin?",Calculus,Algebra,Arithmetic,Geometry
5176,Celebrity Real Names,Easy,Text,Which British city has the nicknames Auld Reekie and Athens of the North?,Edinburgh,Aberdeen,Belfast,Liverpool
5177,Celebrity Real Names,Easy,Text,Which Caribbean island was devastated after the dormant Soufriere Hills Volcano erupted 1995?,Montserrat,Barbados,St Lucia,St Kitts
5178,Celebrity Real Names,Easy,Text,Which colour is the Central Line on a London Underground map?,Red,Green,Blue,White
5179,Celebrity Real Names,Easy,Text,Which colour is the South American umbrellabird?,Black,White,Red,Green
5180,Celebrity Real Names,Easy,Text,Which company launched the first travelers cheques in 1891?,American Express,Via,Royal Mail,Cunard
5181,Celebrity Real Names,Easy,Text,Which country launched the Astrosat space lab in 2015?,India,Brazil,China,Russia
5182,Celebrity Real Names,Easy,Text,Which country lies immediately south of Estonia?,Latvia,Lithuania,Finland,Russia
5183,Celebrity Real Names,Easy,Text,Which country uses the dong as currency?,Vietnam,China,Japan,Thailand
5184,Celebrity Real Names,Easy,Text,Which country uses the international dialling code of 27?,South Africa,Germany,Mexico,Australia
5185,Celebrity Real Names,Easy,Text,Which country was called Cambria by the Romans?,Wales,Ireland,Scotland,France
5186,Celebrity Real Names,Easy,Text,Which country was the first to insist upon car registration plates?,France,Germany,United States,Canada
5187,Celebrity Real Names,Easy,Text,Which craft involves making decorative lacework with knotted threads?,Macrame,Needlepoint,Parquetry,Cross Stitch
5188,Celebrity Real Names,Easy,Text,"Which deciduous tree has varieties called English, white, and slippery?",Elm,Oak,Ash,Beech
5189,Celebrity Real Names,Easy,Text,Which European airline was originally called Dobrolet?,Aeroflot,KLM,British Airways,Lufthansa
5190,Celebrity Real Names,Easy,Text,Which European country is divided into districts called Cantons?,Switzerland,Sweden,Poland,Ireland
5191,Celebrity Real Names,Easy,Text,Which four letters are the name of India's biggest company?,Tata,Yaya,Didi,Sisi
5192,Celebrity Real Names,Easy,Text,"Which French painter and sculptor created ""The Pink Nude""?",Matisse,Seurat,Degar,Moliere
5193,Celebrity Real Names,Easy,Text,Which German city lies on the river Isar?,Munich,Berlin,Bonn,Cologne
5194,Celebrity Real Names,Easy,Text,Which German started the Protestant reformation?,Martin Luther,Johannes Gutenberg,Nikola Tesla,Johannes Vermeer
5195,Celebrity Real Names,Easy,Text,Which girl's name is used for a female donkey?,Jenny,Katy,Susie,Tessa
5196,Celebrity Real Names,Easy,Text,Which Indian city was formerly known as Madras?,Chennai,Bengaluru,Kolkata,Mumbai
5197,Celebrity Real Names,Easy,Text,"Which Italian fashion designer was best-known for loud, eye-catching pattern?",Emilio Pucci,Coco Chanel,Salvatore Ferrgamo,Calvin Klein
5198,Celebrity Real Names,Easy,Text,Which item of clothing is also a 1990s Swedish band?,Cardigans,Berets,Gloves,Boleros
5199,Celebrity Real Names,Easy,Text,Which large island is said to have been discovered by Eric the Red?,Greenland,Australia,Cyprus,Malta
5200,Celebrity Real Names,Easy,Text,"Which Latin legal evidence term means ""at first sight""?",Prima Facie,Vice Versa,Ad Victorium,Caveat Emptor
5201,Celebrity Real Names,Easy,Text,"Which Latin phrase means ""something-for-something""?",Quid Pro Quo,Caveat Emptor,Cum Laude,Bona Fide
5202,Celebrity Real Names,Easy,Text,Which line is green on the standard map of the London Underground?,District,Northern,Piccadilly,Circle
5203,Celebrity Real Names,Easy,Text,Which medic has contractions in pregnancy named after him?,Braxton Hicks,Armstrong Jones,Fallopia,Geiger
5204,Celebrity Real Names,Easy,Text,Which medical instrument did 19th-century French physician Rene Laennec develop?,Stethoscope,Microscope,Blood Pressure Monitor,Syringe
5205,Celebrity Real Names,Easy,Text,Which metal has the lowest boiling point?,Mercury,Copper,Lead,Tin
5206,Celebrity Real Names,Easy,Text,Which metal is extracted from the Chuquicamata mine in Chile?,Copper,Tin,Silver,Lead
5207,Celebrity Real Names,Easy,Text,Which occupation would use an instrument called a theodolite?,Surveyor,Foreman,Police Officer,Actor
5208,Celebrity Real Names,Easy,Text,Which pigment comes from the cuttlefish?,Sepia,Magenta,Woad,Chlorophyll
5209,Celebrity Real Names,Easy,Text,Which plant was grown in Europe in medieval times for its unique blue dye?,Woad,Chrysanthemum,Garlic,Ivy
5210,Celebrity Real Names,Easy,Text,"Which political leadership term takes its name from Latin for ""to join""?",Junta,Guerilla,Despotic,Empire
5211,Celebrity Real Names,Easy,Text,Which pop star began legal proceedings against Sony in 1993?,George Michael,Madonna,Michael Jackson,Diana Ross
5212,Celebrity Real Names,Easy,Text,Which psychologist founded the school of psychoanalysis?,Freud,Aristotle,Descartes,Vermeer
5213,Celebrity Real Names,Easy,Text,Which quantity is measured in becquerels? (Bq),Radioactivity,Density,Speed,Pressure
5214,Celebrity Real Names,Easy,Text,Which river flows through Glasgow?,Clyde,Forth,Dee,Don
5215,Celebrity Real Names,Easy,Text,Which Roman measurement was equivalent to 1500 paces?,League,Centurion,Palatine,Fathon
5216,Celebrity Real Names,Easy,Text,Which scale measures the effects of an earthquake in a particular location?,Mercalli ,Beaufort,Schilling,Denford
5217,Celebrity Real Names,Easy,Text,Which scientific Francis developed the scientific method?,Bacon,Chicken,Beef,Lamb
5218,Celebrity Real Names,Easy,Text,Which South American city is the highest capital above sea level?,La Paz,Lima,Buenos Aires,Rio de Janeiro
5219,Celebrity Real Names,Easy,Text,"Which supernatural being takes its name from the German for ""noisy ghost""?",Poltergeist,Goblin,Werewolf,Zombie 
5220,Celebrity Real Names,Easy,Text,Which technical term refers to forces resisting the forward movement of an aircraft?,Drag,Drop,Dense,Drift
5221,Celebrity Real Names,Easy,Text,"Which term means the edge of a roof adjoining the wall, designed to stop water getting in?",Eaves,Loops,Cants,Domes
5222,Celebrity Real Names,Easy,Text,Which term was a banking response to the 2008 financial collapse?,Quantitive Easing,Quality Pleasing,Quintessential Policy,Quibble Measure
5223,Celebrity Real Names,Easy,Text,Which twins are represented by the zodiacal sign Gemini?,Castor and Pollux,Romulus and Remus,Apollo and Artemis,Eros and Anteros
5224,Celebrity Real Names,Easy,Text,Which US President had a dog called Pushinka?,Kennedy,Reagan,Bush,Washington
5225,Celebrity Real Names,Easy,Text,Which US President had a yacht called the Honey Fitz?,Kennedy,Carter,Reagan,Roosevelt
5226,Celebrity Real Names,Easy,Text,Which was the first British soccer side to win the European Cup?,Celtic,Arsenal,Liverpool,Chelsea
5227,Celebrity Real Names,Easy,Text,Which was the first country to make wearing seat belts in a car compulsory?,Czechoslovakia,West Germany,Brazil,Egypt
5228,Celebrity Real Names,Easy,Text,Which word for a traitor comes from a fascist Norwegian leader?,Quisling,Quidditch,Quillson,Quittox
5229,Celebrity Real Names,Easy,Text,Who became the Syrian leader in the year 2000?,Bashar Al-Assad,Abdelmadjid Tebboune,Ismaïl Omar Guelleh,Abdel Fattah el-Sisi
5230,Celebrity Real Names,Easy,Text,"Who composed ""Finlandia""?",Sibelius,Britten,Mozart,Verdi
5231,Celebrity Real Names,Easy,Text,"Who composed ""Peter Grimes""?",Britten,Elgar,Sibelius,Mozart
5232,Celebrity Real Names,Easy,Text,"Who composed ""The Flight Of The Bumble Bee""?",Rimsky-Korsakov,Tchaikovsky,Elgar,Strauss
5233,Celebrity Real Names,Easy,Text,"Who designed the costumes for Jane Fonda's movie ""Barbarella""?",Paco Rabanne,Kurt Geiger,Coco Chanel,Calvin Klein
5234,Celebrity Real Names,Easy,Text,"Who had a rifle called ""Old Betsy""?",Davy Crockett,Robin Hood,Bill Hicock,Bonnie & Clyde
5235,Celebrity Real Names,Easy,Text,Who is the Greek god of wine and fertility?,Dionysus,Mercury,Narcissus,Andromeda
5236,Celebrity Real Names,Easy,Text,Who is the patron saint of Germany?,St Boniface,St Edward,St Tristan,St Isolde
5237,Celebrity Real Names,Easy,Text,Who left an unfinished novel called 'Sanditon'?,Jane Austen,Charlotte Bronte,Charles Dickens,Agatha Christie
5238,Celebrity Real Names,Easy,Text,"Who sculpted ""Rabbit"", a work which sold at auction for $91 million in 2019?",Jeff Koons,Barbara Hepworth,Antony Gormley,Henry Moore
5239,Celebrity Real Names,Easy,Text,Who slayed the gorgon Medusa in mythology,Perseus,Mercury,Apollo,Oedipus
5240,Celebrity Real Names,Easy,Text,Who was British Prime Minister from 1997-2007?,Tony Blair,John Major,Gordon Brown,Margaret Thatcher
5241,Celebrity Real Names,Easy,Text,Who was goddess of the harvest and agriculture in Greek mythology?,Demeter,Artemis,Diana,Pandora
5242,Celebrity Real Names,Easy,Text,Who was Moses and Aaron's sister in the Old Testament?,Miriam,Ruth,Hester,Rachel
5243,Celebrity Real Names,Easy,Text,"Who was the ancient Greek god of fire, metalworking, and crafts?",Hephaestus,Demeter,Dionysus,Artemis
5244,Celebrity Real Names,Easy,Text,Who was the last British monarch from the House of Hanover?,Queen Victoria,Charles II,George VI,William I
5245,Celebrity Real Names,Easy,Text,Who was the legendary founder and queen of the city of Carthage?,Dido,Helen,Cleopatra,Frances
5246,Celebrity Real Names,Easy,Text,Who was the main activist for women's suffrage in the US?,Susan B Anthony,Mary Wolstencraft,Eliza G Hawkins,Laura M Alcott
5247,Celebrity Real Names,Easy,Text,"Who was the scary protagonist of the ""Nightmare on Elm Street"" movies?",Freddy Krueger,Pennywise,Ellen Ripley,Danny Torrance
5248,Celebrity Real Names,Easy,Text,Who would be put into a panopticon?,Prisoners,Musical Instruments,Money,Animals
5249,Celebrity Real Names,Easy,Text,"Who wrote a play called ""The Importance of Being Earnest""?",Oscar Wilde,William Shakespeare,Tennessee Williams,Mark Twain
5250,Celebrity Real Names,Easy,Text,"Who wrote the novels ""Gone Girl"" and ""Sharp Objects""?",Gillian Flynn,Jodi Picoult,Paula Hawkins,Marian Keyes
5251,Celebrity Real Names,Easy,Text,Wife carrying is an unusual sport from which part of the world?,Scandinavia,Middle East,Australia,Central America
5252,Celebrity Real Names,Easy,Text,Yahya Jammeh was President of which African country from 1996 to 2017?,Gambia,Zimbabwe,Egypt,Nigeria
5253,Celebrity Real Names,Easy,Text,Yiddish is a language derived from which other European language?,German,French,Italian,Spanish
5254,Celebrity Real Names,Easy,Text,Yulia Tymoshenko became the first female Prime Minister of which country in 2005?,Ukraine,Turkey,Finland,Poland
1,Celebrity Real Names,Easy,Image,logo.jpeg,Germany,France,Mexico,Brazil
2,Celebrity Real Names,Easy,Text,new Q2,Oil,Mercury,Coffee,Beer
,,Easy,Image,logo.jpeg,Right Option,Wrong Option,Wrong Option,Wrong Option
,,Easy,Image,next-level-optimized.webp,Right Option1,Wrong Option,Wrong Option,Wrong Option
